PIT,CLAY,SILT,SAND,FSi,CoSi,VFS,FS,MS,CoS,VCoS,CECCL,CAX,MGX,NaX,KX,SUMB,CEC,BSAT
56a,6.3,30.8,62.9,13.9,16.9,11.5,19.1,17.1,10.7,4.5,3.5,0.2,0.1,0.1,0.1,0.5,22.2,2.3
56b,3.6,24.3,72.1,11.5,12.8,11.3,21.4,19.9,12.8,6.7,2.3,0.1,-1,0.1,0.1,0.3,8.3,3.6
56c,3.3,25.3,71.4,12.8,12.5,12.3,20.7,20.4,12.4,5.6,3.3,0.2,-1,0.1,0.1,0.4,10.8,3.7
57a,8.7,30.4,60.9,15.4,15,9.7,16.2,16.9,11.7,6.4,4.1,0.2,0.2,0.2,0.1,0.7,35.8,2
57b,7.1,31.2,61.7,15.7,15.5,9.5,16.8,15.8,11.9,7.7,3.7,0.1,0.1,0.1,0.1,0.4,25.9,1.5
57c,5.9,26.5,67.6,14.9,11.6,9.6,19.2,18.8,12.7,7.3,2.6,0.2,-1,0.2,0.1,0.5,15.5,3.2
58a,4.8,25.8,69.4,12.7,13.1,14.5,21.9,17.6,10.5,4.9,4.7,0.1,0.1,0.1,0.1,0.4,22.5,1.8
58b,5.4,35.6,59,17.9,17.7,12,17.5,15.1,9.7,4.7,2.4,0.1,-1,0.1,0.1,0.4,12.9,3.1
58c,5.5,28.3,66.2,15.1,13.2,10.9,20.2,17.9,10.5,6.7,4.8,0.1,-1,0.1,0.1,0.3,26.3,1.1
59a,7.5,42,50.5,20.6,21.4,13,14.7,12.7,7.2,2.9,2.4,0.1,0.1,0.2,0.1,0.5,17.9,2.8
59b,5.4,33.4,61.2,17,16.4,12.1,15.8,15.8,11,6.5,2.7,0.1,0.1,0.2,0.1,0.5,14.6,3.4
59c,5.8,34.4,59.8,17.6,16.8,12.5,17.6,14.9,9.3,5.5,4.5,0.2,0.1,0.2,0.1,0.6,26.2,2.3
60a,3.7,32.2,64.1,16.5,15.7,12.4,19.4,16.6,9.9,5.8,4.8,0.2,0.1,0.2,0.1,0.6,17.6,3.4
60b,6.2,39.6,54.2,19.3,20.3,12.7,17.3,12.9,7.5,3.8,4.9,0.1,0.2,0.1,0.1,0.5,30.4,1.6
60c,6.2,43.1,50.7,26.1,17,11.8,14.4,13.3,7.4,3.8,5.1,0.3,0.1,0.2,0.1,0.7,31.7,2.2
61a,5,26.5,68.5,12.9,13.6,14.1,22.3,17.7,9.8,4.6,3.7,0.3,0.1,0.2,0.1,0.7,18.6,3.8
61b,7.4,39.2,53.4,20.4,18.8,11.3,16.6,13.6,8.3,3.6,2.5,0.2,-1,0.2,0.1,0.6,18.7,3.2
61c,4.5,33.4,62.1,17.2,16.2,13.8,19.7,16.9,8.4,3.3,7.8,0.3,0.1,0.2,0.1,0.7,34.9,2
62a,6.6,36.4,57,19.6,16.8,9.6,16.4,15.5,10.4,5.1,3.7,0.1,0.1,0.2,0.1,0.5,24.1,2.1
62b,5.4,26,68.6,14.5,11.5,12.1,20,19.7,11.3,5.5,4.2,0.2,0.2,0.2,0.2,0.8,22.9,3.5
62c,5.2,31,63.8,17.2,13.8,10.8,17.6,15.9,11.4,8.1,3.6,0.2,0.1,0.3,0.1,0.7,18.7,3.7
63a,5.8,29.1,65.1,15.3,13.8,12.5,20.7,15.9,9.6,6.4,2.8,0.4,0.1,0.2,0.1,0.8,16,5
63b,5.4,24.6,70,12.9,11.7,12.2,20.6,18,12.3,6.9,4.2,0.4,0.2,-1,0.1,0.7,22.5,3.1
63c,6.5,30.6,62.9,16.4,14.2,12.4,17.8,15.8,10.5,6.4,4.1,0.3,0.1,-1,0.1,0.5,26.8,1.9
64a,9.5,38.2,52.3,21.2,17,11.5,16.7,13.4,7.7,3,3.8,0.3,0.2,-1,0.2,0.7,35.7,2
64b,7.2,34,58.8,18.7,15.3,11.4,17.6,15,8.9,5.9,6,0.2,0.3,-1,0.3,0.8,43.2,1.9
64c,6.7,34.2,59.1,20,14.2,11.7,20.4,15.5,7.9,3.6,3.9,0.4,0.2,0.1,0.2,0.9,25.8,3.5
65a,4.3,30.2,65.5,14.6,15.6,12.4,17.6,15.8,11,8.7,4.8,0.2,0.1,0.1,0.1,0.5,20.8,2.4
65b,6.7,28.4,64.9,16.2,12.2,13.2,21.8,17.2,9.1,3.6,3.8,0.4,0.2,0.1,0.1,0.8,25.4,3.2
65c,6.7,30.4,62.9,17.2,13.2,12.6,20.4,16.1,9.1,4.7,4.7,0.4,0.2,0.1,0.1,0.8,31.3,2.6
66a,7.9,48.8,43.3,27.9,20.9,12.8,14.1,9.4,5.1,1.9,4.3,0.4,0.2,0.1,0.2,0.9,34.1,2.6
66b,7,37.4,55.6,21.9,15.6,13.6,17.3,13.9,7.3,3.5,4.9,0.6,0.2,0.1,0.1,1,34.6,2.9
66c,5.1,31.5,63.4,18.6,12.9,13.8,20.6,16.4,9,3.6,3.4,0.2,0.1,0.1,0.1,0.5,17.3,2.9
67a,6.5,27.7,65.8,17.7,10,11,19.7,18.3,12,4.8,2.3,0.1,0.1,0.1,0.1,0.4,14.6,2.7
67b,5.7,27.4,66.9,15.3,12.1,11.5,20.5,17.7,11.2,6,1.9,0.1,0.1,0.1,0.1,0.4,10.9,3.7
67c,6,26.3,67.7,15.2,11.1,11.2,18.3,18,12.4,7.8,2.4,0.2,0.1,0.1,0.1,0.5,14.4,3.5
68a,7.9,29.8,62.3,16.5,13.3,11.1,18.2,17.1,11.2,4.7,2.3,0.2,0.1,0.1,0.1,0.5,18.4,2.7
68b,5.7,29.5,64.8,16.1,13.4,11.3,18.2,16.7,12,6.6,2.2,0.2,0.1,0.1,0.1,0.5,12.4,4
68c,5.3,29.8,64.9,15.7,14.1,12.8,19.5,17,11.3,4.3,2.7,0.2,0.1,0.1,0.1,0.5,14.1,3.5
6a,5.8,29.1,65.1,16,13.1,12.6,19.5,17.7,10,5.3,3.1,-1,-1,-1,-1,0.1,18,0.6
6b,10,43.7,46.3,23.3,20.4,9.9,13.6,13.2,7.2,2.4,2,-1,-1,-1,-1,0.2,19.9,1
6c,7.4,33.6,59,18.4,15.2,10.7,18.8,19.5,8.1,1.9,2.3,-1,-1,-1,-1,0.1,17.3,0.6
70a,9.2,40.5,50.3,19.6,20.9,14.8,15.9,11.5,6,2.1,1.8,0.1,0.1,0.1,0.1,0.4,16.3,2.5
70b,6.8,21.5,71.7,12.2,9.3,13.2,22.4,18.5,10.6,7,2.3,0.4,0.1,0.1,0.1,0.7,15.6,4.5
70c,13.8,57.8,28.4,31.5,26.3,10.6,8.6,5.5,2.6,1.1,2.5,0.6,0.3,0.1,0.3,1.3,34.6,3.8
71a,6,51.2,42.8,24.1,27.1,12.8,11.5,10,6,2.5,2.9,0.1,0.1,0.1,0.1,0.4,17.3,2.3
71b,7.1,39.2,53.7,19.8,19.4,13.3,14.3,13.3,8.9,3.9,2.2,0.1,0.1,0.1,0.1,0.4,15.6,2.6
71c,7.5,29,63.5,16,13,11.5,17.2,16.4,12,6.4,2.7,0.2,0.2,0.1,0.2,0.7,20.2,3.5
72b,7.8,30.7,61.5,17.2,13.5,11,19.8,17.2,9.9,3.6,2.7,0.8,0.2,0.1,0.1,1.2,21.3,5.6
72c,9,50.2,40.8,28.6,21.6,8.2,11.8,10.2,6.3,4.3,2.5,0.9,0.2,-1,0.4,1.5,22.2,6.8
73a,9,32.5,58.5,18,14.5,10.2,14.5,14.7,10.7,8.4,3,3.2,0.7,0.1,0.2,4.2,26.8,15.7
73b,7.1,26.7,66.2,15.7,11,12.5,21.4,17.9,10.3,4.1,1.6,0.6,0.2,0.2,0.1,1.1,11.4,9.7
73c,11,34.1,54.9,18.2,15.9,10.6,15,12.7,8.9,7.7,1.9,0.2,0.2,0.2,0.1,0.7,20.4,3.4
74a,7.7,34.3,58,15.5,18.8,12.1,17.6,14.6,9.4,4.3,1.9,0.2,-1,0.2,-1,0.5,14.6,3.4
74b,7.7,37.5,54.8,18.2,19.3,12.6,15.5,13.7,8.4,4.6,2.4,0.3,0.1,0.3,0.1,0.8,18.6,4.3
74c,6.6,42.6,50.8,19.6,23,10.1,13.3,13.6,9.5,4.3,2.1,0.3,0.1,0.2,0.1,0.7,14,5
75a,6.2,25.7,68.1,11.2,14.5,12.3,21.8,17.3,10.5,6.2,2.6,0.2,0.1,0.3,0.1,0.7,16,4.4
75b,5.3,31,63.7,15.2,15.8,12.9,19.3,14.8,9.4,7.3,2.6,0.3,0.1,0.2,0.1,0.7,13.8,5.1
75c,5.1,28.8,66.1,14.8,14,14,20,16.4,9.7,6,4.1,0.5,0.1,0.2,0.1,0.9,21.1,4.3
76a,5.5,19.6,74.9,10.1,9.5,10.8,22.1,21.9,14.3,5.8,5.5,0.1,0.2,0.3,0.2,0.8,30.2,2.7
76b,5.8,27.6,66.6,16,11.6,11.1,19.7,18.1,12.2,5.5,4,0.1,0.2,0.1,0.1,0.5,22.9,2.2
76c,3.8,24.8,71.4,14,10.8,10.9,20.1,19.2,13.8,7.4,4,0.1,0.1,-1,0.1,0.3,15.2,2
77a,7.1,37.8,55.1,20.1,17.7,12.4,16.1,13.1,7.8,5.7,1.4,0.2,0.1,0.1,-1,0.4,10.2,3.9
77b,5.9,32.9,61.2,18.7,14.2,11.7,18.5,16.1,9.4,5.5,2,0.3,0.1,0.1,0.1,0.6,11.7,5.1
77c,7.7,36.2,56.1,18.9,17.3,12.1,17.9,13.7,8.1,4.3,1.1,0.2,-1,-1,-1,0.3,8.2,3.7
78a,7,29.8,63.2,15.9,13.9,11.5,19.2,16.8,11,4.7,2.6,0.4,0.1,0.1,0.1,0.7,18.1,3.9
78b,5.2,24.8,70,14.4,10.4,12.9,20.6,19.6,12.1,4.8,4.1,0.2,0.2,0.1,0.1,0.6,21.5,2.8
