case,year,plot,species,pres.abs
2,1937,E,BETH,0
3,1937,F,BETH,0
4,1937,G,BETH,0
5,1937,H,BETH,0
6,1937,I,BETH,0
7,1937,J,BETH,0
8,1937,K,BETH,0
9,1937,L,BETH,0
10,1937,M,BETH,0
11,1937,N,BETH,0
12,1940,B,BETH,0
13,1940,C,BETH,0
14,1940,D,BETH,0
15,1940,E,BETH,0
16,1940,F,BETH,0
17,1940,G,BETH,0
18,1940,H,BETH,1
19,1940,I,BETH,0
20,1940,J,BETH,0
21,1940,K,BETH,0
22,1940,L,BETH,0
23,1940,M,BETH,0
24,1940,N,BETH,0
25,1948,B,BETH,0
26,1948,C,BETH,0
27,1948,D,BETH,0
28,1948,E,BETH,0
29,1948,F,BETH,0
30,1948,G,BETH,0
31,1948,H,BETH,1
32,1948,I,BETH,0
33,1948,J,BETH,0
34,1948,K,BETH,0
35,1948,L,BETH,0
36,1948,M,BETH,0
37,1948,N,BETH,0
38,1991,B,BETH,0
39,1991,C,BETH,0
40,1991,D,BETH,0
41,1991,E,BETH,0
42,1991,F,BETH,0
43,1991,G,BETH,0
44,1991,H,BETH,0
45,1991,I,BETH,1
46,1991,J,BETH,0
47,1991,K,BETH,0
48,1991,L,BETH,0
49,1991,M,BETH,0
50,1991,N,BETH,0
1,1937,C,BRER,0
2,1937,E,BRER,0
3,1937,F,BRER,0
4,1937,G,BRER,0
5,1937,H,BRER,0
6,1937,I,BRER,0
7,1937,J,BRER,0
8,1937,K,BRER,0
9,1937,L,BRER,0
10,1937,M,BRER,0
11,1937,N,BRER,0
12,1940,B,BRER,0
13,1940,C,BRER,0
14,1940,D,BRER,0
15,1940,E,BRER,0
16,1940,F,BRER,0
17,1940,G,BRER,0
18,1940,H,BRER,0
19,1940,I,BRER,0
20,1940,J,BRER,0
21,1940,K,BRER,0
22,1940,L,BRER,0
23,1940,M,BRER,0
24,1940,N,BRER,0
25,1948,B,BRER,0
26,1948,C,BRER,0
27,1948,D,BRER,0
28,1948,E,BRER,0
29,1948,F,BRER,0
30,1948,G,BRER,0
31,1948,H,BRER,0
32,1948,I,BRER,0
33,1948,J,BRER,0
34,1948,K,BRER,0
35,1948,L,BRER,0
36,1948,M,BRER,0
37,1948,N,BRER,0
38,1991,B,BRER,0
39,1991,C,BRER,1
40,1991,D,BRER,1
41,1991,E,BRER,0
42,1991,F,BRER,0
43,1991,G,BRER,0
44,1991,H,BRER,0
45,1991,I,BRER,0
46,1991,J,BRER,0
47,1991,K,BRER,1
48,1991,L,BRER,1
49,1991,M,BRER,0
50,1991,N,BRER,0
1,1937,C,CASPP,0
2,1937,E,CASPP,1
3,1937,F,CASPP,0
4,1937,G,CASPP,0
5,1937,H,CASPP,0
6,1937,I,CASPP,0
7,1937,J,CASPP,0
8,1937,K,CASPP,0
9,1937,L,CASPP,0
10,1937,M,CASPP,0
11,1937,N,CASPP,0
12,1940,B,CASPP,1
13,1940,C,CASPP,1
14,1940,D,CASPP,1
15,1940,E,CASPP,1
16,1940,F,CASPP,1
17,1940,G,CASPP,1
18,1940,H,CASPP,1
19,1940,I,CASPP,1
20,1940,J,CASPP,1
21,1940,K,CASPP,0
22,1940,L,CASPP,1
23,1940,M,CASPP,1
24,1940,N,CASPP,1
25,1948,B,CASPP,1
26,1948,C,CASPP,1
27,1948,D,CASPP,1
28,1948,E,CASPP,1
29,1948,F,CASPP,1
30,1948,G,CASPP,1
31,1948,H,CASPP,0
32,1948,I,CASPP,1
33,1948,J,CASPP,1
34,1948,K,CASPP,1
35,1948,L,CASPP,1
36,1948,M,CASPP,1
37,1948,N,CASPP,1
38,1991,B,CASPP,1
39,1991,C,CASPP,1
40,1991,D,CASPP,1
41,1991,E,CASPP,1
42,1991,F,CASPP,0
43,1991,G,CASPP,1
44,1991,H,CASPP,0
45,1991,I,CASPP,1
46,1991,J,CASPP,0
47,1991,K,CASPP,1
48,1991,L,CASPP,1
49,1991,M,CASPP,1
50,1991,N,CASPP,0
1,1937,C,CHSPP,0
2,1937,E,CHSPP,1
3,1937,F,CHSPP,0
4,1937,G,CHSPP,1
5,1937,H,CHSPP,0
6,1937,I,CHSPP,0
7,1937,J,CHSPP,0
8,1937,K,CHSPP,1
9,1937,L,CHSPP,1
10,1937,M,CHSPP,0
11,1937,N,CHSPP,0
12,1940,B,CHSPP,0
13,1940,C,CHSPP,0
14,1940,D,CHSPP,1
15,1940,E,CHSPP,0
16,1940,F,CHSPP,0
17,1940,G,CHSPP,0
18,1940,H,CHSPP,0
19,1940,I,CHSPP,0
20,1940,J,CHSPP,0
21,1940,K,CHSPP,0
22,1940,L,CHSPP,0
23,1940,M,CHSPP,0
24,1940,N,CHSPP,0
25,1948,B,CHSPP,1
26,1948,C,CHSPP,1
27,1948,D,CHSPP,0
28,1948,E,CHSPP,0
29,1948,F,CHSPP,0
30,1948,G,CHSPP,0
31,1948,H,CHSPP,0
32,1948,I,CHSPP,0
33,1948,J,CHSPP,0
34,1948,K,CHSPP,0
35,1948,L,CHSPP,0
36,1948,M,CHSPP,1
37,1948,N,CHSPP,1
38,1991,B,CHSPP,0
39,1991,C,CHSPP,0
40,1991,D,CHSPP,1
41,1991,E,CHSPP,0
42,1991,F,CHSPP,1
43,1991,G,CHSPP,1
44,1991,H,CHSPP,0
45,1991,I,CHSPP,0
46,1991,J,CHSPP,0
47,1991,K,CHSPP,0
48,1991,L,CHSPP,0
49,1991,M,CHSPP,0
50,1991,N,CHSPP,0
1,1937,C,CISPP,0
2,1937,E,CISPP,0
3,1937,F,CISPP,0
4,1937,G,CISPP,0
5,1937,H,CISPP,0
6,1937,I,CISPP,0
7,1937,J,CISPP,0
8,1937,K,CISPP,0
9,1937,L,CISPP,0
10,1937,M,CISPP,0
11,1937,N,CISPP,0
12,1940,B,CISPP,0
13,1940,C,CISPP,1
14,1940,D,CISPP,0
15,1940,E,CISPP,0
16,1940,F,CISPP,0
17,1940,G,CISPP,0
18,1940,H,CISPP,1
19,1940,I,CISPP,1
20,1940,J,CISPP,0
21,1940,K,CISPP,0
22,1940,L,CISPP,0
23,1940,M,CISPP,0
24,1940,N,CISPP,1
25,1948,B,CISPP,0
26,1948,C,CISPP,0
27,1948,D,CISPP,0
28,1948,E,CISPP,0
29,1948,F,CISPP,0
30,1948,G,CISPP,0
31,1948,H,CISPP,0
32,1948,I,CISPP,0
33,1948,J,CISPP,0
34,1948,K,CISPP,1
35,1948,L,CISPP,0
36,1948,M,CISPP,0
37,1948,N,CISPP,0
38,1991,B,CISPP,0
39,1991,C,CISPP,0
40,1991,D,CISPP,0
41,1991,E,CISPP,0
42,1991,F,CISPP,0
43,1991,G,CISPP,0
44,1991,H,CISPP,0
45,1991,I,CISPP,0
46,1991,J,CISPP,0
47,1991,K,CISPP,0
48,1991,L,CISPP,0
49,1991,M,CISPP,0
50,1991,N,CISPP,0
1,1937,C,CLVI,0
2,1937,E,CLVI,0
3,1937,F,CLVI,0
