sample.date,plot,sample.number,tree.tag,spp,N.percent,C.percent,vial.label
2007-07-25,F5,NA,104,rm,2.070752859,49.24739838,NA
2007-07-25,F5,NA,117,wp,1.159406304,50.73416901,NA
2007-07-25,F5,NA,117,wp,1.184850931,50.90327454,NA
2007-07-25,F5,NA,122,wb,2.282389402,49.53598404,NA
2007-07-25,F5,NA,122,wb,2.274554729,49.42411423,NA
2007-07-17,G1,NA,153,rm,2.795958996,51.43951797,NA
2007-07-17,G1,NA,153,rm,2.831856012,51.35214233,NA
2007-07-17,G1,NA,158,rp,0.927276671,52.17448425,NA
2007-07-17,G1,NA,158,rp,0.945031047,51.73784637,NA
2007-07-17,G1,NA,166,cherry,2.862897158,48.90295792,NA
2007-07-17,G1,NA,166,cherry,2.797258854,48.80519867,NA
2007-07-17,G1,NA,175,ro,2.491842508,49.24135208,NA
2007-07-17,G1,NA,175,ro,2.448506355,49.587883,NA
2007-07-17,G2,NA,203,ro,2.51162076,50.10029602,NA
2007-07-17,G2,NA,203,ro,2.469807148,49.7413826,NA
2007-07-17,G2,NA,205,yb,2.349289179,47.45492554,NA
2007-07-17,G2,NA,205,yb,2.369459867,47.72257996,NA
2007-07-17,G2,NA,206,cherry,2.562543154,50.19905472,NA
2007-07-17,G2,NA,206,cherry,2.635775089,50.19062042,NA
2007-07-17,G2,NA,220,rm,1.95156467,50.12818909,NA
2007-07-17,G2,NA,220,rm,1.895233154,50.26499176,NA
2007-07-17,G2,NA,224,hem,1.211124539,51.12335968,NA
2007-07-17,G2,NA,224,hem,1.226012111,50.87058258,NA
2007-07-17,G4,NA,257,ro,2.04044652,50.51965714,NA
2007-07-17,G4,NA,257,ro,1.930022478,49.73725128,NA
2007-07-17,G4,NA,258,bb,2.001208782,49.79296875,NA
2007-07-17,G4,NA,258,bb,1.924588442,49.00588608,NA
2007-07-17,G4,NA,261,rm,1.648632765,50.76852036,NA
2007-07-17,G4,NA,261,rm,1.668414831,50.20698166,NA
2007-07-17,G4,NA,262,yb,1.742491364,47.63214493,NA
2007-07-17,G4,NA,262,yb,1.772898674,47.68687057,NA
2007-07-25,G5,NA,231,yb,2.234039068,49.00144196,NA
2007-07-25,G5,NA,231,yb,2.303294897,49.22232819,NA
2007-07-25,G5,NA,269,hem,1.434803605,50.99055481,NA
2007-07-25,G5,NA,269,hem,1.362686753,51.0004425,NA
2007-07-25,G5,NA,277,rm,2.002732992,49.49484253,NA
2007-07-25,G5,NA,277,rm,1.92028296,49.53654861,NA
2007-07-25,G5,NA,285,wp,1.407566786,51.20968628,NA
2007-07-25,G5,NA,285,wp,1.368228078,51.61391068,NA
2007-07-25,G5,NA,291,ro,2.538775682,51.75524521,NA
2007-07-25,G5,NA,291,ro,2.571954727,51.65846252,NA
2007-07-25,G5,NA,597,bb,2.575814962,50.6749115,NA
2007-07-25,G5,NA,597,bb,2.659507275,50.16456223,NA
2007-07-17,H1,NA,304,beech,2.215392828,48.99971008,NA
2007-07-17,H1,NA,304,beech,2.350192547,49.40284348,NA
2007-07-17,H1,NA,305,ro,2.541954994,51.16470337,NA
2007-07-17,H1,NA,305,ro,2.423241138,50.29973602,NA
2007-07-17,H1,NA,314,hem,1.009067774,50.38682938,NA
2007-07-17,H1,NA,314,hem,1.018092513,50.41226959,NA
2007-07-17,H1,NA,320,wp,1.213085651,50.92288971,NA
2007-07-17,H1,NA,320,wp,1.311540008,51.08084869,NA
2007-07-17,H1,NA,321,rm,2.354469299,50.15905762,NA
2007-07-17,H1,NA,321,rm,2.375201225,50.17806244,NA
2007-07-17,H2,NA,332,beech,2.37728548,47.72251892,NA
