collection,month,year,species,plot,n.wt,avg.m.remain,sd.m.remain,n,avg.per.n,sd.per.n,avg.per.lignin,sd.per.lignin,avg.per.cellulose,sd.per.cellulose
3,8,1990,QUVE,HC,4,51.19,3.11,2,1.92,0.01,42.22,0.16,36.97,0.05
4,11,1990,QUVE,HC,4,46.39,5.61,2,1.96,0.03,44.5,0.98,36.33,0.31
5,8,1991,QUVE,HC,4,36.7,4.34,2,2.21,0.05,43.54,0.93,36.51,0.38
6,11,1991,QUVE,HC,4,32.16,2.95,2,2.33,0.05,47.03,0.1,34.52,0.46
7,8,1992,QUVE,HC,4,30.13,0.52,2,2.26,0.08,49.37,0.11,32.37,1.02
8,11,1992,QUVE,HC,4,22.53,3.78,2,2.4,0.14,47.02,1.71,34.58,0.3
9,8,1993,QUVE,HC,4,27.31,2.36,2,2.29,0.05,49.63,0.7,32.76,0.29
10,11,1993,QUVE,HC,4,12.24,7.35,2,2.39,0.01,46.58,2.68,32.1,0.09
11,8,1994,QUVE,HC,8,21.68,8.55,4,2.39,0.16,49.14,2.05,32.31,0.83
12,11,1994,QUVE,HC,8,19.25,7.94,4,2.23,0.05,51.95,1.26,30.95,0.4
1,8,1989,QUVE,HH,4,79.74,1.27,2,1.37,0.02,41.65,0.76,36.12,0.6
2,11,1989,QUVE,HH,4,64.46,6.34,2,1.59,0.08,44.31,0.27,35.1,0.38
3,8,1990,QUVE,HH,4,54.13,2.3,2,1.87,0.03,44.8,0.1,35.17,0.28
4,11,1990,QUVE,HH,4,53.48,4.12,2,1.95,0.03,47.5,0.87,34.52,0.1
5,8,1991,QUVE,HH,4,45.67,6.48,2,2.25,0.06,47.85,0.38,35.24,0.35
6,11,1991,QUVE,HH,4,46.09,2.66,2,2.4,0.08,50.64,0.36,33.63,0.06
7,8,1992,QUVE,HH,4,50.34,4.56,2,2.29,0.05,52.15,0.46,33.98,0.57
8,11,1992,QUVE,HH,4,44.86,5.08,2,2.29,0.01,50.53,0.27,33.8,0.05
9,8,1993,QUVE,HH,4,44.91,0.38,2,2.5,0.01,51.42,0.5,33.81,0.17
10,11,1993,QUVE,HH,4,42.99,5.64,2,2.36,0.02,52.54,0.18,32.69,0.29
11,8,1994,QUVE,HH,8,39.62,7.04,4,2.43,0.08,53.85,1.5,32.46,0.44
12,11,1994,QUVE,HH,8,37.89,7.54,4,2.45,0.09,54.26,0.04,31.93,0.17
1,8,1989,QUVE,HL,4,81.17,2.45,2,1.38,0.05,41.41,0.32,36.91,0.18
2,11,1989,QUVE,HL,4,60.88,3.24,2,1.76,0.03,44.16,0.31,35.24,0.09
3,8,1990,QUVE,HL,4,54.31,3.34,2,1.86,0.11,44.36,0.95,35.36,0.33
4,11,1990,QUVE,HL,4,43.13,4.15,2,2.16,0.06,44.12,0.41,36.24,0.89
5,8,1991,QUVE,HL,4,39.02,4.31,2,2.31,0.01,46.01,0.76,36.26,0.96
6,11,1991,QUVE,HL,4,42.62,11.22,2,2.21,0.01,47.82,1.17,33.99,0.48
7,8,1992,QUVE,HL,4,34.93,4.38,2,2.38,0.18,51.09,2.01,32.68,1.77
8,11,1992,QUVE,HL,4,38.18,2.2,2,2.38,0.05,50.08,0.36,34.13,0.66
9,8,1993,QUVE,HL,4,39.98,10.36,2,2.44,0.17,52.15,0.14,33.37,0.35
10,11,1993,QUVE,HL,4,39.48,8.96,2,2.39,0.1,52.74,1.73,32,0.03
11,8,1994,QUVE,HL,8,31.44,13.22,4,2.25,0.04,51.22,1.95,32.01,0.53
12,11,1994,QUVE,HL,8,29.4,8.56,4,2.31,0.08,52.48,2.17,31.53,0.72
