plot,sample.id,species,lat,lon,elev,year,cellulose,cellulose.method,lignin,lignin.method,carbon,carbon.method,hydrogen,hydrogen.method,nitrogen,nitrogen.method
HFR7,92HFS7NS3,PIAB,42.5436,-72.1823,385,1992,44.97,1,22.7,1,50,6,7,6,1.18,1
HFR7,92HFS7NS4,PIAB,42.5436,-72.1823,385,1992,42.89,1,21.88,1,51,6,7,6,1.25,1
HFR7,92HFS7NS5,PIAB,42.5436,-72.1823,385,1992,41.01,1,22.09,1,51,6,7,6,1.1,1
HFR8,92HFS8NS1,PIAB,42.5467,-72.174,403,1992,41.19,1,24.8,1,51,6,7,6,1.35,1
HFR8,92HFS8NS2,PIAB,42.5467,-72.174,403,1992,38.56,1,27.46,1,51,6,7,6,1.16,1
HFR8,92HFS8NS3,PIAB,42.5467,-72.174,403,1992,39.05,1,25.23,1,51,6,7,6,1.36,1
HFR8,92HFS8NS4,PIAB,42.5467,-72.174,403,1992,39.07,1,27.08,1,51,6,7,6,1.13,1
HFR8,92HFS8NS5,PIAB,42.5467,-72.174,403,1992,36.9,1,23.96,1,51,6,7,6,1.2,1
HFR12,92HFS12WS1,PIGL,42.5439,-72.1745,408,1992,40.82,1,24.33,1,51,6,7,6,1.09,1
HFR15,92HFS15RP1,PIRE,42.539,-72.1864,369,1992,38.01,1,26.29,1,52,6,7,6,1,1
HFR15,92HFS15RP2,PIRE,42.539,-72.1864,369,1992,38.72,1,26.58,1,52,6,7,6,1.06,1
HFR15,92HFS15RP3,PIRE,42.539,-72.1864,369,1992,39.53,1,24.78,1,52,6,7,6,1.11,1
HFR15,92HFS15RP4,PIRE,42.539,-72.1864,369,1992,39.57,1,26.43,1,52,6,7,6,1.06,1
HFR15,92HFS15RP5,PIRE,42.539,-72.1864,369,1992,39.57,1,26.77,1,52,6,7,6,1.01,1
HFR17,92HFS17RP1,PIRE,42.5304,-72.1784,363,1992,36.75,1,25.14,1,52,6,7,6,1.01,1
HFR17,92HFS17RP2,PIRE,42.5304,-72.1784,363,1992,40.81,1,25.84,1,52,6,7,6,1.09,1
HFR17,92HFS17RP3,PIRE,42.5304,-72.1784,363,1992,39.47,1,26.41,1,52,6,7,6,1.13,1
HFR17,92HFS17RP4,PIRE,42.5304,-72.1784,363,1992,40.86,1,25.53,1,52,6,7,6,1.18,1
HFR17,92HFS17RP5,PIRE,42.5304,-72.1784,363,1992,40.93,1,27.16,1,52,6,7,6,1.31,1
HFR21,92HFS21RP1,PIRE,42.5296,-72.1844,341,1992,37.84,1,25.6,1,51,6,7,6,0.97,1
HFR21,92HFS21RP2,PIRE,42.5296,-72.1844,341,1992,39.38,1,26.77,1,51,6,7,6,0.94,1
HFR21,92HFS21RP3,PIRE,42.5296,-72.1844,341,1992,38.69,1,25.52,1,51,6,7,6,0.93,1
HFR21,92HFS21RP4,PIRE,42.5296,-72.1844,341,1992,37.18,1,25.36,1,52,6,7,6,1.02,1
HFR21,92HFS21RP5,PIRE,42.5296,-72.1844,341,1992,36.89,1,25.57,1,51,6,7,6,1.16,1
HFR7,92HFS7RP1,PIRE,42.5436,-72.1823,385,1992,40.07,1,26.81,1,52,6,7,6,1.36,1
HFR7,92HFS7RP2,PIRE,42.5436,-72.1823,385,1992,37.34,1,26.85,1,52,6,7,6,1.33,1
HFR7,92HFS7RP3,PIRE,42.5436,-72.1823,385,1992,37.16,1,28.63,1,52,6,7,6,1.16,1
HFR7,92HFS7RP4,PIRE,42.5436,-72.1823,385,1992,37.55,1,29.64,1,53,6,7,6,1.27,1
HFR7,92HFS7RP5,PIRE,42.5436,-72.1823,385,1992,36.79,1,29.09,1,52,6,7,6,1.21,1
HFR10,92HFS10WP1,PIST,42.4494,-72.1735,300,1992,36.5,1,24.58,1,52,6,7,6,1.27,1
HFR10,92HFS10WP2,PIST,42.4494,-72.1735,300,1992,37.95,1,23.84,1,52,6,7,6,1.3,1
HFR10,92HFS10WP3,PIST,42.4494,-72.1735,300,1992,37.33,1,25.46,1,52,6,7,6,1.33,1
HFR10,92HFS10WP4,PIST,42.4494,-72.1735,300,1992,36.35,1,25.54,1,52,6,7,6,1.34,1
HFR10,92HFS10WP5,PIST,42.4494,-72.1735,300,1992,36.54,1,25.23,1,51,6,7,6,1.32,1
HFR16,92HFS16BC1,PRSE2,42.5275,-72.1816,348,1992,36.43,1,20.04,1,51,6,7,6,2.43,1
HFR16,92HFS16BC2,PRSE2,42.5275,-72.1816,348,1992,39.12,1,18.92,1,50,6,7,6,2.49,1
HFR16,92HFS16BC3,PRSE2,42.5275,-72.1816,348,1992,44.31,1,13.87,1,48,6,7,6,2.52,1
HFR16,92HFS16BC4,PRSE2,42.5275,-72.1816,348,1992,42.53,1,13.81,1,49,6,7,6,3.14,1
HFR16,92HFS16BC5,PRSE2,42.5275,-72.1816,348,1992,38.61,1,19.26,1,50,6,7,6,2.47,1
HFR2,92HFS2BC1,PRSE2,42.5363,-72.1737,355,1992,52.12,1,16.53,1,50,6,7,6,2.5,1
HFR2,92HFS2BC2,PRSE2,42.5363,-72.1737,355,1992,35.86,1,19.34,1,50,6,7,6,2.78,1
HFR2,92HFS2BC3,PRSE2,42.5363,-72.1737,355,1992,42.07,1,19.35,1,50,6,7,6,2.43,1
HFR2,92HFS2BC4,PRSE2,42.5363,-72.1737,355,1992,38.34,1,20.95,1,50,6,7,6,2.46,1
HFR2,92HFS2BC5,PRSE2,42.5363,-72.1737,355,1992,42.76,1,17.72,1,50,6,7,6,2.4,1
HFR6,92HFS6BC1,PRSE2,42.5042,-72.2122,300,1992,42.8,1,17.77,1,49,6,7,6,2.74,1
HFR6,92HFS6BC2,PRSE2,42.5042,-72.2122,300,1992,39.59,1,15.92,1,49,6,7,6,2.57,1
HFR6,92HFS6BC3,PRSE2,42.5042,-72.2122,300,1992,40.67,1,17.81,1,50,6,7,6,2.86,1
