year,doy,site,plot,spp,wt-g
1998,266,ems,G1,w.oak,0
1998,266,ems,G1,r.maple,0.45
1998,266,ems,G1,str.maple,0
1998,266,ems,G1,beech,0
1998,266,ems,G1,birch,0
1998,266,ems,G1,hemlock,0.203
1998,266,ems,G1,spruce,0
1998,266,ems,G1,r.pine,0
1998,266,ems,G1,w.pine,0
1998,266,ems,G1,cherry,0
1998,266,ems,G1,w.hazel,0
1998,266,ems,G1,chestnut,0
1998,266,ems,G1,ash,0
1998,266,ems,G1,unknown,0
1998,266,ems,G2,oak,0.404
1998,266,ems,G2,w.oak,0
1998,266,ems,G2,r.maple,0.302
1998,266,ems,G2,str.maple,0
1998,266,ems,G2,beech,0
1998,266,ems,G2,birch,0.23
1998,266,ems,G2,hemlock,5.3
1998,266,ems,G2,spruce,0
1998,266,ems,G2,r.pine,0
1998,266,ems,G2,w.pine,0
1998,266,ems,G2,cherry,0
1998,266,ems,G2,w.hazel,0
1998,266,ems,G2,chestnut,0
1998,266,ems,G2,ash,0.092
1998,266,ems,G2,unknown,0
1998,266,ems,G3,oak,0
1998,266,ems,G3,w.oak,0
1998,266,ems,G3,r.maple,3.96
1998,266,ems,G3,str.maple,0
1998,266,ems,G3,beech,0
1998,266,ems,G3,birch,3.26
1998,266,ems,G3,hemlock,0
1998,266,ems,G3,spruce,0
1998,266,ems,G3,r.pine,0
1998,266,ems,G3,w.pine,0
1998,266,ems,G3,cherry,0
1998,266,ems,G3,w.hazel,0
1998,266,ems,G3,chestnut,0
1998,266,ems,G3,ash,0
1998,266,ems,G3,unknown,0
1998,266,ems,G4,oak,1.14
1998,266,ems,G4,w.oak,0
1998,266,ems,G4,r.maple,0
1998,266,ems,G4,str.maple,0
1998,266,ems,G4,beech,0
1998,266,ems,G4,birch,5.26
1998,266,ems,G4,hemlock,1.04
1998,266,ems,G4,spruce,0
1998,266,ems,G4,r.pine,0
1998,266,ems,G4,w.pine,0
1998,266,ems,G4,cherry,0
1998,266,ems,G4,w.hazel,0
1998,266,ems,G4,chestnut,0
1998,266,ems,G4,ash,0
1998,266,ems,G4,unknown,0.41
1998,266,ems,G5,oak,1.9
1998,266,ems,G5,w.oak,0
1998,266,ems,G5,r.maple,0
1998,266,ems,G5,str.maple,0
1998,266,ems,G5,beech,0
1998,266,ems,G5,birch,1.08
1998,266,ems,G5,hemlock,2.65
1998,266,ems,G5,spruce,0
1998,266,ems,G5,r.pine,0
1998,266,ems,G5,w.pine,0
1998,266,ems,G5,cherry,0
1998,266,ems,G5,w.hazel,0
1998,266,ems,G5,chestnut,0
1998,266,ems,G5,ash,0.388
1998,266,ems,G5,unknown,0
1998,266,ems,H1,oak,0.736
1998,266,ems,H1,w.oak,0
1998,266,ems,H1,r.maple,1.23
1998,266,ems,H1,str.maple,0
1998,266,ems,H1,beech,0
1998,266,ems,H1,birch,0.717
1998,266,ems,H1,hemlock,1.27
1998,266,ems,H1,spruce,0
1998,266,ems,H1,r.pine,0.687
1998,266,ems,H1,w.pine,0
1998,266,ems,H1,cherry,0
1998,266,ems,H1,w.hazel,0
1998,266,ems,H1,chestnut,0
1998,266,ems,H1,ash,0
1998,266,ems,H1,unknown,0
1998,266,ems,H2,oak,0.96
1998,266,ems,H2,w.oak,0
1998,266,ems,H2,r.maple,0.65
1998,266,ems,H2,str.maple,0
1998,266,ems,H2,beech,0
1998,266,ems,H2,birch,0
1998,266,ems,H2,hemlock,0
1998,266,ems,H2,spruce,0
1998,266,ems,H2,r.pine,0
1998,266,ems,H2,w.pine,0
1998,266,ems,H2,chery,0
1998,266,ems,H2,w.hazel,0
1998,266,ems,H2,chestnut,0
1998,266,ems,H2,ash,0
1998,266,ems,H2,unknown,0
1998,266,ems,H3,oak,0
1998,266,ems,H3,w.oak,0
1998,266,ems,H3,r.maple,3.99
1998,266,ems,H3,str.maple,0
1998,266,ems,H3,beech,0
1998,266,ems,H3,birch,0.71
1998,266,ems,H3,hemlock,0
1998,266,ems,H3,spruce,0
1998,266,ems,H3,r.pine,0
1998,266,ems,H3,w.pine,0
1998,266,ems,H3,cherry,0
1998,266,ems,H3,w.hazel,0
1998,266,ems,H3,chestnut,0
1998,266,ems,H3,ash,0.028
1998,266,ems,H3,unknown,0.734
1998,266,ems,H4,oak,0
1998,266,ems,H4,w.oak,0
1998,266,ems,H4,r.maple,4.31
1998,266,ems,H4,str.maple,0
1998,266,ems,H4,beech,0
1998,266,ems,H4,birch,0
1998,266,ems,H4,hemlock,0
1998,266,ems,H4,spruce,0
1998,266,ems,H4,r.pine,0
1998,266,ems,H4,w.pine,0
1998,266,ems,H4,cherry,0
1998,266,ems,H4,w.hazel,0
1998,266,ems,H4,chestnut,0
1998,266,ems,H4,ash,0
1998,266,ems,H4,unknown,0
1998,266,ems,H5,oak,0
1998,266,ems,H5,w.oak,0
1998,266,ems,H5,r.maple,0
1998,266,ems,H5,str.maple,0
1998,266,ems,H5,beech,2.11
1998,266,ems,H5,birch,2
1998,266,ems,H5,hemlock,0
1998,266,ems,H5,spruce,0
1998,266,ems,H5,r.pine,0
1998,266,ems,H5,w.pine,0
1998,266,ems,H5,cherry,0
1998,266,ems,H5,w.hazel,0
1998,266,ems,H5,chestnut,0
1998,266,ems,H5,ash,0
1998,266,ems,H5,unknown,0
1998,280,ems,A1,oak,0
1998,280,ems,A1,w.oak,0
1998,280,ems,A1,r.maple,15.3
1998,280,ems,A1,str.maple,0
1998,280,ems,A1,beech,0
1998,280,ems,A1,birch,0
1998,280,ems,A1,hemlock,0
1998,280,ems,A1,spruce,0
1998,280,ems,A1,r.pine,0
1998,280,ems,A1,w.pine,0
1998,280,ems,A1,cherry,0
1998,280,ems,A1,w.hazel,0
1998,280,ems,A1,chestnut,0
1998,280,ems,A1,ash,0
1998,280,ems,A1,unknown,0.28
1998,280,ems,A2,oak,7.23
1998,280,ems,A2,w.oak,0
1998,280,ems,A2,r.maple,3.23
1998,280,ems,A2,str.maple,0
1998,280,ems,A2,beech,0.13
1998,280,ems,A2,birch,0
1998,280,ems,A2,hemlock,0
1998,280,ems,A2,spruce,0
1998,280,ems,A2,r.pine,0
1998,280,ems,A2,w.pine,0.38
1998,280,ems,A2,cherry,0
1998,280,ems,A2,w.hazel,0
1998,280,ems,A2,chestnut,0
1998,280,ems,A2,ash,0
1998,280,ems,A2,unknown,0.11
1998,280,ems,A3,oak,7.92
1998,280,ems,A3,w.oak,0
1998,280,ems,A3,r.maple,9.39
