Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,1,1,tsugcana,101,50101.3,334.3,14.09,0.09,10.02,9.29,2.91,5.77,5.77,1.00,0.33,0.01,0.93,0.01,0.14,1.00,350,42682,100646,50435.6,-4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.11,-9.38,24.11,9.38,
1,1,1,pinustro,101,25392.1,196.4,0.03,0.00,5.08,5.45,2.91,6.36,6.36,1.00,0.33,0.02,0.95,0.01,0.00,1.00,350,26504,100613,25588.5,-4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.11,-5.45,5.11,5.45,
1,1,1,pinustro,51,12885.0,205.8,0.00,0.00,2.58,5.72,2.91,5.84,5.84,1.00,0.33,0.02,0.94,0.01,0.00,1.00,350,26504,100602,13090.7,-4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.58,-5.72,2.58,5.72,
1,1,1,fagugran,21,1302.4,0.0,0.00,0.00,0.78,0.00,2.91,0.00,0.40,0.00,0.33,0.03,0.00,0.01,0.00,1.00,382,32682,100594,1302.4,-4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.78,0.00,0.78,0.00,
1,1,1,betulent,21,655.2,0.0,0.00,0.00,0.39,0.00,2.91,0.00,0.09,0.00,0.30,0.01,0.00,0.01,0.21,1.00,220,19116,100593,655.2,-4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.39,0.00,
1,1,1,betulent,11,296.9,0.0,0.00,0.00,0.18,0.00,2.91,0.00,0.04,0.00,0.22,0.01,0.00,0.01,0.21,1.00,220,19116,100592,296.9,-4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,0.18,0.00,
1,1,1,fagugran,11,364.6,0.0,0.00,0.00,0.22,0.00,2.91,0.00,0.12,0.00,0.24,0.01,0.00,0.01,0.00,1.00,382,32682,100592,364.6,-4.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.22,0.00,0.22,0.00,
1,2,1,tsugcana,231,8794.9,122.1,48.28,0.67,1.76,3.39,3.02,3.17,3.17,1.00,0.34,0.01,0.77,0.01,0.16,1.00,350,42682,100592,8917.0,-3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-50.04,-4.06,50.04,4.06,
1,2,1,tsugcana,101,50077.2,324.9,14.08,0.09,10.02,9.03,3.02,5.77,5.77,1.00,0.34,0.03,0.93,0.01,0.16,1.00,350,42682,100538,50402.1,-3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.10,-9.12,24.10,9.12,
1,2,1,pinustro,101,25387.0,190.9,0.03,0.00,5.08,5.30,3.02,6.36,6.36,1.00,0.34,0.03,0.95,0.01,0.00,1.00,350,26504,100504,25578.0,-3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.11,-5.30,5.11,5.30,
