"","Species","Type","DBH","CCR"
"139","PIAB","Adult",21.8819939557,584773.819916834
"138","PIAB","Adult",21.9819939557,584389.81122421
"137","PIAB","Adult",22.0819939557,583972.633729827
"136","PIAB","Adult",22.0819939557,583957.322635875
"135","PIAB","Adult",22.0819939557,583942.011541923
"134","PIAB","Adult",22.0819939557,583926.700447972
"133","PIAB","Adult",22.2819939557,583040.374546658
"132","PIAB","Adult",22.2819939557,583024.784846863
"131","PIAB","Adult",22.2819939557,583009.195147067
"130","PIAB","Adult",22.2819939557,582993.605447271
"129","PIAB","Adult",22.2819939557,582978.015747475
"128","PIAB","Adult",22.2819939557,582962.42604768
"127","PIAB","Adult",22.3819939557,582595.53739852
"126","PIAB","Adult",22.3819939557,582579.807453802
"125","PIAB","Adult",22.7819939557,580973.746661365
"124","PIAB","Adult",22.7819939557,580957.449456959
"123","PIAB","Adult",22.8819939557,580576.186912459
"122","PIAB","Adult",22.8819939557,580559.746323131
"121","PIAB","Adult",22.8819939557,580543.305733803
"120","PIAB","Adult",22.8819939557,580526.865144475
"119","PIAB","Adult",22.8819939557,580510.424555147
"118","PIAB","Adult",22.8819939557,580493.983965819
"117","PIAB","Adult",22.9819939557,580179.620315147
"116","PIAB","Adult",22.9819939557,580163.035712897
"115","PIAB","Adult",23.0819939557,579816.530611213
"114","PIAB","Adult",23.1819939557,579490.821780868
"113","PIAB","Adult",23.1819939557,579473.947268773
