,Number,Type,Species,DBH,Height,Crown_Radius,Crown_Depth,Crown_Area,Basal_Area
144,144,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
145,145,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
146,146,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
147,147,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
148,148,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
149,149,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
150,150,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
151,151,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
152,152,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
153,153,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
154,154,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
155,155,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
156,156,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
157,157,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
158,158,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
159,159,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
160,160,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
161,161,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
162,162,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
163,163,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
164,164,Sapling,TSCA,9.7,7.373539383,0.97,8.2062,2.954426,0.007389829
165,165,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
166,166,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
167,167,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
168,168,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
169,169,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
170,170,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
171,171,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
172,172,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
173,173,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
174,174,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
175,175,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
176,176,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
177,177,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
178,178,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
179,179,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
180,180,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
181,181,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
182,182,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
183,183,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
184,184,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
185,185,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
186,186,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
187,187,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
188,188,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
189,189,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
190,190,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
191,191,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
192,192,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
193,193,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
194,194,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
195,195,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
196,196,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
197,197,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
198,198,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
199,199,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
200,200,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
201,201,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
202,202,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
